ds,yhat,yhat_lower,yhat_upper,model
2025-06-01,160122.22690941958,114852.22951892475,202416.80703281125,Prophet
2025-07-01,197765.0932330859,154895.20393471993,241013.71425421027,Prophet
2025-08-01,196681.69369164994,157755.88346787356,241114.2970909349,Prophet
2025-09-01,184767.47133984126,141996.7277774568,225354.02846940001,Prophet
2025-10-01,198842.88417387474,157796.5001114502,240200.14072615924,Prophet
2025-11-01,233606.08673141373,193566.65294009872,274987.43039993645,Prophet
2025-12-01,279934.9059802133,239608.68030880537,321968.47085000493,Prophet
2026-01-01,275991.78492381645,233926.08314245378,319006.50121130544,Prophet
2026-02-01,279903.9542669879,234055.32585993217,321207.4603659886,Prophet
2026-03-01,265710.4387570998,223302.2576756054,310612.86905762774,Prophet
2026-04-01,227812.77902013116,184916.20072738396,269696.617859844,Prophet
2026-05-01,184879.94955260272,141615.72911141504,230549.94687130186,Prophet
2026-06-01,204103.50212155218,158784.9169075925,247159.77110577747,Prophet
2026-07-01,247169.34055931252,206525.20396088954,288073.7748465628,Prophet
2026-08-01,249101.70064672417,203476.2583650955,288389.72519012407,Prophet
2026-09-01,227439.12602861764,185218.3150805535,273833.8392522825,Prophet
2026-10-01,235444.2114276613,189521.9403207471,277957.61802275764,Prophet
2026-11-01,274221.317967035,230734.58375341253,318420.3929502645,Prophet
2026-12-01,327394.0339343116,281727.7684832679,373862.81249195273,Prophet
2027-01-01,324012.13076043164,274326.6766874341,367203.95019736735,Prophet
2027-02-01,329057.60766179155,285711.73491881276,375384.5641510953,Prophet
2027-03-01,304128.1815231269,261057.25838198606,352356.06726964563,Prophet
2027-04-01,277241.52359325986,231945.89944949377,326665.2797642822,Prophet
2027-05-01,220445.65116227494,174582.00469579862,268000.2033017664,Prophet
