ds,yhat,yhat_lower,yhat_upper,model
2026-06-01,138620.80863707807,71696.96682909824,205544.6504450579,SARIMA
2026-07-01,182864.90779455198,70630.99138628774,295098.82420281623,SARIMA
2026-08-01,171701.188448316,32541.344728239405,310861.0321683926,SARIMA
2026-09-01,147082.86207154382,-15938.939554069279,310104.66369715694,SARIMA
2026-10-01,154531.44091665858,-28870.002556884137,337932.8843902013,SARIMA
2026-11-01,190737.51868139906,-11120.746856443206,392595.78421924135,SARIMA
2026-12-01,242145.07997463367,23420.831429452664,460869.32851981465,SARIMA
2027-01-01,247303.2843697813,12911.27531945394,481695.2934201086,SARIMA
2027-02-01,246594.200125596,-2478.0411204610427,495666.441371653,SARIMA
2027-03-01,239702.86743692696,-23232.49106271172,502638.22593656566,SARIMA
2027-04-01,192459.9687071568,-83642.9207395539,468562.85815386754,SARIMA
2027-05-01,158083.1481014038,-130587.38997956403,446753.6861823717,SARIMA
2027-06-01,164019.90116747716,-144584.39579581414,472624.1981307685,SARIMA
2027-07-01,209606.53302212807,-120689.87747059329,539902.9435148494,SARIMA
2027-08-01,197896.34481682148,-151787.53968466682,547580.2293183098,SARIMA
2027-09-01,172373.93568450198,-195984.93959534485,540732.8109643488,SARIMA
2027-10-01,180142.2395435339,-205890.23471051388,566174.7137975817,SARIMA
2027-11-01,216944.65114301138,-186019.0296370155,619908.3319230382,SARIMA
2027-12-01,268999.95099998947,-150201.26238338958,688201.1643833686,SARIMA
2028-01-01,274108.792308243,-160727.41636664845,708945.0009831344,SARIMA
2028-02-01,272811.9016219052,-177115.21252283017,722739.0157666407,SARIMA
2028-03-01,265720.4745355692,-198807.9044890924,730248.8535602308,SARIMA
2028-04-01,218107.66029526558,-260576.69712380334,696792.0177143345,SARIMA
2028-05-01,183367.61461052386,-309065.9810306372,675801.210251685,SARIMA
