ds,yhat,yhat_lower,yhat_upper,model
2026-06-01,131974.84,74810.39,189139.3,XGBoost
2026-07-01,162207.2,105042.75,219371.66,XGBoost
2026-08-01,139234.61,82070.16,196399.06,XGBoost
2026-09-01,138528.9,81364.45,195693.36,XGBoost
2026-10-01,139617.95,82453.5,196782.4,XGBoost
2026-11-01,185914.44,128749.984,243078.89,XGBoost
2026-12-01,231901.9,174737.45,289066.38,XGBoost
2027-01-01,220699.03,163534.58,277863.5,XGBoost
2027-02-01,221042.8,163878.34,278207.25,XGBoost
2027-03-01,215627.88,158463.42,272792.3,XGBoost
2027-04-01,156881.64,99717.19,214046.1,XGBoost
2027-05-01,136531.25,79366.8,193695.7,XGBoost
2027-06-01,119983.39,62818.938,177147.84,XGBoost
2027-07-01,163703.56,106539.11,220868.02,XGBoost
2027-08-01,137522.84,80358.39,194687.3,XGBoost
2027-09-01,137300.42,80135.97,194464.88,XGBoost
2027-10-01,131495.0,74330.55,188659.45,XGBoost
2027-11-01,176746.42,119581.97,233910.88,XGBoost
2027-12-01,222544.42,165379.97,279708.88,XGBoost
2028-01-01,246231.12,189066.67,303395.56,XGBoost
2028-02-01,248989.14,191824.69,306153.6,XGBoost
2028-03-01,222800.12,165635.67,279964.56,XGBoost
2028-04-01,169201.88,112037.42,226366.33,XGBoost
2028-05-01,116013.79,58849.336,173178.25,XGBoost
