ds,yearly
2018-01-01,41628.52601083749
2018-02-01,41767.94936325088
2018-03-01,24166.792313272133
2018-04-01,-17503.61341449004
2018-05-01,-64087.48738925378
2018-06-01,-48636.68081106869
2018-07-01,-9221.886880482802
2018-08-01,-11062.272783845669
2018-09-01,-36497.5933927973
2018-10-01,-32143.55250101784
2018-11-01,2860.808047597623
2018-12-01,52382.479507683085
2019-01-01,45227.83034301794
2019-02-01,46500.561253600856
2019-03-01,18163.49357490707
2019-04-01,-12495.910345819051
2019-05-01,-72942.82728403411
2019-06-01,-48845.29803003388
2019-07-01,-4126.980553146589
2019-08-01,-3209.3039000199155
2019-09-01,-38507.75414966396
2019-10-01,-39994.120986399
2019-11-01,-766.1771981794086
2019-12-01,55568.2995034867
2020-01-01,48860.792532852116
2020-02-01,51106.6820453088
2020-03-01,36025.0668734732
2020-04-01,-27679.470204028934
2020-05-01,-46338.00108285076
2020-06-01,-47527.23771652373
2020-07-01,-19067.901566100358
2020-08-01,-27195.83495796468
2020-09-01,-33261.41727119191
2020-10-01,-16545.917534214692
2020-11-01,10645.336865417383
2020-12-01,46458.13779288216
2021-01-01,38069.53890524799
2021-02-01,36914.753806189365
2021-03-01,30122.518111809626
2021-04-01,-22565.09904398835
2021-05-01,-55215.9519668355
2021-06-01,-48196.91451878389
2021-07-01,-14205.092702370213
2021-08-01,-19061.238234509696
2021-09-01,-34748.20657714224
2021-10-01,-24323.838250344674
2021-11-01,6666.618316382139
2021-12-01,49344.39305798755
2022-01-01,41628.52601086366
2022-02-01,41767.949363212814
2022-03-01,24166.792313274636
2022-04-01,-17503.61341442475
2022-05-01,-64087.48738919993
2022-06-01,-48636.68081106542
2022-07-01,-9221.886880508562
2022-08-01,-11062.272783900098
2022-09-01,-36497.593392827774
2022-10-01,-32143.552501041737
2022-11-01,2860.80804759782
2022-12-01,52382.47950767352
2023-01-01,45227.83034300009
2023-02-01,46500.561253590844
2023-03-01,18163.493574898843
2023-04-01,-12495.91034582761
2023-05-01,-72942.82728404475
2023-06-01,-48845.29803006738
2023-07-01,-4126.980553151845
2023-08-01,-3209.3039000984336
2023-09-01,-38507.75414965578
2023-10-01,-39994.12098630889
2023-11-01,-766.1771981606751
2023-12-01,55568.29950347527
2024-01-01,48860.792532825326
2024-02-01,51106.68204537959
2024-03-01,36025.06687352152
2024-04-01,-27679.47020407615
2024-05-01,-46338.00108280839
2024-06-01,-47527.23771653148
2024-07-01,-19067.90156615614
2024-08-01,-27195.834957932002
2024-09-01,-33261.41727117415
2024-10-01,-16545.917534119035
2024-11-01,10645.336865440151
2024-12-01,46458.13779284209
2025-01-01,38069.538905213936
2025-02-01,36914.753806208624
2025-03-01,30122.518111767204
2025-04-01,-22565.09904405443
2025-05-01,-55215.95196687006
2025-06-01,-48196.91451876869
2025-07-01,-14205.092702316302
2025-08-01,-19061.238234539967
2025-09-01,-34748.206577136334
2025-10-01,-24323.838250316607
2025-11-01,6666.618316434644
2025-12-01,49344.39305802029
2026-01-01,41628.5260108358
2026-02-01,41767.949363219566
2026-03-01,24166.792313265127
2026-04-01,-17503.613414491138
2026-05-01,-64087.48738923349
2026-06-01,-48636.68081107167
2026-07-01,-9221.886880525202
2026-08-01,-11062.272783901222
2026-09-01,-36497.59339279545
2026-10-01,-32143.552500965645
2026-11-01,2860.808047620306
2026-12-01,52382.47950768299
2027-01-01,45227.83034301535
2027-02-01,46500.56125358765
2027-03-01,18163.493574856653
2027-04-01,-12495.910345798033
2027-05-01,-72942.82728399686
