Date,Month,Arrivals
1/1/2018,Jan,238924
2/1/2018,Feb,235618
3/1/2018,Mar,233382
4/1/2018,Apr,180429
5/1/2018,May,129466
6/1/2018,Jun,146828
7/1/2018,Jul,217829
8/1/2018,Aug,200359
9/1/2018,Sep,149087
10/1/2018,Oct,153123
11/1/2018,Nov,195582
12/1/2018,Dec,253169
1/1/2019,Jan,244239
2/1/2019,Feb,252033
3/1/2019,Mar,244328
4/1/2019,Apr,166975
5/1/2019,May,37802
6/1/2019,Jun,63072
7/1/2019,Jul,115701
8/1/2019,Aug,143587
9/1/2019,Sep,108575
10/1/2019,Oct,118743
11/1/2019,Nov,176984
12/1/2019,Dec,241663
1/1/2020,Jan,228434
2/1/2020,Feb,207507
3/1/2020,Mar,71370
4/1/2020,Apr,0
5/1/2020,May,0
6/1/2020,Jun,0
7/1/2020,Jul,0
8/1/2020,Aug,0
9/1/2020,Sep,0
10/1/2020,Oct,0
11/1/2020,Nov,0
12/1/2020,Dec,393
1/1/2021,Jan,1682
2/1/2021,Feb,3366
3/1/2021,Mar,4581
4/1/2021,Apr,4168
5/1/2021,May,1497
6/1/2021,Jun,1614
7/1/2021,Jul,2429
8/1/2021,Aug,5040
9/1/2021,Sep,13547
10/1/2021,Oct,22771
11/1/2021,Nov,44294
12/1/2021,Dec,89506
1/1/2022,Jan,82327
2/1/2022,Feb,96507
3/1/2022,Mar,106500
4/1/2022,Apr,62980
5/1/2022,May,30207
6/1/2022,Jun,32856
7/1/2022,Jul,47293
8/1/2022,Aug,37760
9/1/2022,Sep,29802
10/1/2022,Oct,42026
11/1/2022,Nov,59759
12/1/2022,Dec,91961
1/1/2023,Jan,102545
2/1/2023,Feb,107639
3/1/2023,Mar,125495
4/1/2023,Apr,105498
5/1/2023,May,83309
6/1/2023,Jun,100388
7/1/2023,Jul,143039
8/1/2023,Aug,136405
9/1/2023,Sep,111938
10/1/2023,Oct,109199
11/1/2023,Nov,151496
12/1/2023,Dec,210352
1/1/2024,Jan,208253
2/1/2024,Feb,218350
3/1/2024,Mar,209181
4/1/2024,Apr,148867
5/1/2024,May,112128
6/1/2024,Jun,113470
7/1/2024,Jul,187810
8/1/2024,Aug,164609
9/1/2024,Sep,122140
10/1/2024,Oct,135907
11/1/2024,Nov,184158
12/1/2024,Dec,248592
1/1/2025,Jan,252761
2/1/2025,Feb,240217
3/1/2025,Mar,229298
4/1/2025,Apr,174608
5/1/2025,May,132919
6/1/2025,Jun,138241
7/1/2025,Jul,200244
8/1/2025,Aug,198235
9/1/2025,Sep,158971
10/1/2025,Oct,165193
11/1/2025,Nov,212906
12/1/2025,Dec,258928
1/1/2026,Jan,277327
2/1/2026,Feb,279328
3/1/2026,Mar,183979
4/1/2026,Apr,135643
5/1/2026,May,145745
,,
,,
,,
,,
,,
,,
,,
